# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
110 0.859916 -0.542471 0.0140862
120 1.22904 -0.480517 0.026962
130 1.38981 -0.452344 0.0300357
140 1.45414 -0.43394 0.0293703
150 1.46654 -0.424123 0.027357
160 1.46129 -0.407719 0.0265147
170 1.47869 -0.401127 0.0256736
180 1.46655 -0.38272 0.0259023
190 1.47296 -0.372572 0.0255329
200 1.48021 -0.371951 0.0241515
210 1.48674 -0.367461 0.0235388
220 1.48331 -0.351207 0.0242288
230 1.50123 -0.351853 0.0232527
240 1.48679 -0.346663 0.0227817
250 1.48849 -0.340614 0.0230418
260 1.50522 -0.336913 0.02333
270 1.48847 -0.329282 0.0234526
280 1.48053 -0.320379 0.0233834
290 1.49343 -0.321914 0.0225853
300 1.48749 -0.316484 0.0226725
310 1.49386 -0.316114 0.022324
320 1.48195 -0.314275 0.0221662
330 1.48825 -0.308122 0.0229278
340 1.48723 -0.307406 0.0226285
350 1.4842 -0.299505 0.0231783
360 1.48616 -0.301399 0.0227506
370 1.48119 -0.293886 0.023219
380 1.50327 -0.290976 0.02362
390 1.47898 -0.292998 0.0224311
400 1.48897 -0.292969 0.0219269
410 1.50083 -0.290283 0.0219234
420 1.50174 -0.278927 0.0229997
430 1.50653 -0.280582 0.0228159
440 1.49626 -0.275866 0.0231849
450 1.50515 -0.270699 0.0237424
460 1.48733 -0.279629 0.0220826
470 1.48771 -0.272261 0.0225471
480 1.47593 -0.271398 0.0222068
490 1.49646 -0.269734 0.0222477
500 1.51646 -0.267758 0.0224727
510 1.50689 -0.261283 0.0230994
520 1.47256 -0.258597 0.0227427
530 1.50687 -0.259976 0.0226121
540 1.4961 -0.254762 0.0228729
550 1.49786 -0.25769 0.0222756
560 1.48378 -0.251182 0.0226705
570 1.49651 -0.253108 0.0224867
580 1.48514 -0.253698 0.022175
590 1.49015 -0.250374 0.0225039
600 1.49385 -0.24836 0.0227244
610 1.50332 -0.250358 0.0224308
620 1.49281 -0.251427 0.0217914
630 1.51809 -0.250144 0.0220418
640 1.52592 -0.245216 0.0223244
650 1.52798 -0.247776 0.0218759
660 1.50062 -0.241666 0.0221435
670 1.52858 -0.242505 0.0224565
680 1.51046 -0.243739 0.0221861
690 1.49009 -0.240654 0.0224073
700 1.51857 -0.239453 0.023079
710 1.49263 -0.241657 0.0222399
720 1.4852 -0.234969 0.0227082
730 1.46913 -0.240999 0.0216506
740 1.50361 -0.239092 0.022151
750 1.52243 -0.242448 0.0220236
760 1.4931 -0.237705 0.0220504
770 1.5082 -0.234378 0.0226897
780 1.49706 -0.241101 0.0218248
790 1.50992 -0.239568 0.0222437
800 1.50341 -0.241697 0.02191
810 1.49149 -0.23886 0.0220431
820 1.49268 -0.240853 0.0218152
830 1.5303 -0.237537 0.0227917
840 1.49988 -0.236573 0.0224993
850 1.51891 -0.239807 0.0225253
860 1.51848 -0.237346 0.0227891
870 1.52599 -0.242618 0.0221267
880 1.49691 -0.24394 0.0212911
890 1.49102 -0.244955 0.0210512
900 1.44928 -0.24176 0.021073
910 1.49237 -0.232319 0.0229166
920 1.51218 -0.237863 0.0223118
930 1.51329 -0.23697 0.0222367
940 1.49229 -0.237651 0.0219393
950 1.51107 -0.239229 0.02243
960 1.51015 -0.240414 0.0225968
970 1.50426 -0.242138 0.0223935
980 1.51113 -0.245944 0.0221385
990 1.49855 -0.240853 0.0226645
1000 1.49819 -0.244178 0.0222471
1010 1.50917 -0.250074 0.0217012
1020 1.47981 -0.246533 0.0216198
1030 1.48545 -0.24185 0.0222538
1040 1.45727 -0.241751 0.021504
